"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.07.2021","128.045","128.600","129.470","127.325","21,13M","-0,70%"
"14.07.2021","128.950","128.930","130.140","128.530","21,68M","0,25%"
"13.07.2021","128.634","128.175","128.990","126.820","20,67M","0,41%"
"12.07.2021","128.112","126.550","128.500","126.160","17,30M","1,92%"
"09.07.2021","125.700","125.700","125.700","125.700","-","-0,07%"
"08.07.2021","125.782","125.680","126.440","124.725","20,68M","-1,40%"
"07.07.2021","127.565","125.980","127.745","125.670","19,49M","1,63%"
"06.07.2021","125.525","127.525","127.625","125.300","19,93M","-1,51%"
"05.07.2021","127.449","128.000","128.235","127.015","14,13M","-0,62%"
"02.07.2021","128.247","126.300","128.430","126.080","17,27M","1,56%"
"01.07.2021","126.283","127.435","127.735","125.485","21,62M","-0,76%"
"30.06.2021","127.254","127.400","127.835","126.750","19,71M","-0,50%"
"29.06.2021","127.894","127.900","128.100","126.765","18,78M","-0,16%"
"28.06.2021","128.096","128.045","128.765","126.945","18,77M","0,18%"
"25.06.2021","127.861","130.285","130.450","127.235","19,16M","-1,80%"
"24.06.2021","130.211","129.685","130.325","129.500","16,51M","0,83%"
"23.06.2021","129.144","129.760","130.645","128.835","17,18M","-0,27%"
"22.06.2021","129.497","129.915","129.930","128.480","18,76M","-0,34%"
"21.06.2021","129.937","128.995","130.230","128.755","16,04M","1,11%"
"18.06.2021","128.510","129.350","129.580","128.250","20,19M","-0,22%"
"17.06.2021","128.790","129.850","130.745","128.325","20,86M","-0,56%"
"16.06.2021","129.516","129.890","130.240","129.010","2,15M","-1,12%"
"15.06.2021","130.985","130.375","130.985","129.245","187,39K","0,59%"
"14.06.2021","130.220","129.760","131.150","129.650","16,99M","0,66%"
"11.06.2021","129.370","130.385","130.425","128.640","14,87M","-0,60%"
"10.06.2021","130.148","129.800","130.660","129.500","20,86M","0,13%"
"09.06.2021","129.973","130.040","130.960","129.365","20,71M","0,12%"
"08.06.2021","129.811","130.605","130.895","129.320","19,71M","-0,77%"
"07.06.2021","130.814","130.175","131.360","129.560","18,05M","0,51%"
"04.06.2021","130.152","129.105","130.280","129.105","15,92M","0,47%"
"02.06.2021","129.541","128.260","129.675","128.050","15,90M","0,86%"
"01.06.2021","128.434","126.600","128.560","126.345","15,21M","1,73%"
"31.05.2021","126.255","125.515","126.340","125.390","11,35M","0,59%"
"28.05.2021","125.515","124.840","125.880","124.350","13,55M","0,83%"
"27.05.2021","124.476","123.890","124.740","123.625","15,74M","0,23%"
"26.05.2021","124.196","123.520","124.510","123.505","13,90M","0,71%"
"25.05.2021","123.315","124.085","124.890","122.905","15,98M","-0,75%"
"24.05.2021","124.243","122.950","124.425","122.700","13,71M","1,18%"
"21.05.2021","122.798","123.195","123.245","121.910","12,05M","-0,04%"
"20.05.2021","122.845","122.990","123.220","122.300","14,85M","-0,06%"
"19.05.2021","122.919","121.955","123.495","121.690","17,92M","-0,13%"
"18.05.2021","123.082","123.550","123.840","122.710","17,59M","-0,11%"
"17.05.2021","123.212","121.435","123.370","121.335","13,63M","0,90%"
"14.05.2021","122.119","121.515","122.475","121.185","16,60M","1,02%"
"13.05.2021","120.883","120.110","121.725","119.830","17,85M","0,86%"
"12.05.2021","119.858","122.755","122.895","119.650","18,46M","-2,66%"
"11.05.2021","123.132","121.290","123.250","120.465","17,81M","0,79%"
"10.05.2021","122.170","122.295","123.045","122.045","14,77M","-0,17%"
"07.05.2021","122.378","120.630","122.705","120.380","13,60M","1,83%"
"06.05.2021","120.176","120.025","120.420","119.320","16,74M","0,16%"
"05.05.2021","119.979","118.700","120.205","118.470","15,22M","1,71%"
"04.05.2021","117.966","119.260","119.700","117.915","17,53M","-1,29%"
"03.05.2021","119.508","119.800","120.335","118.815","16,15M","0,16%"
"30.04.2021","119.317","120.035","120.540","118.905","18,20M","-0,82%"
"29.04.2021","120.307","121.705","122.050","120.080","16,65M","-0,91%"
"28.04.2021","121.416","119.610","121.990","119.525","14,36M","1,36%"
"27.04.2021","119.788","121.300","121.540","119.160","16,37M","-1,07%"
"26.04.2021","121.078","121.460","121.750","120.145","14,32M","0,13%"
"23.04.2021","120.924","120.700","121.310","120.300","14,20M","0,92%"
"22.04.2021","119.824","120.775","121.460","119.615","18,18M","-0,51%"
"20.04.2021","120.442","120.900","121.765","120.255","16,34M","-0,75%"
"19.04.2021","121.357","121.500","122.475","121.050","16,31M","-0,15%"
"16.04.2021","121.537","121.200","121.860","120.620","15,93M","0,39%"
"15.04.2021","121.068","121.000","121.880","120.540","17,00M","0,20%"
"14.04.2021","120.825","119.035","120.875","119.035","12,42M","1,36%"
"13.04.2021","119.209","118.155","119.565","117.880","15,45M","0,42%"
"12.04.2021","118.715","117.475","118.940","117.475","14,35M","0,90%"
"09.04.2021","117.654","118.040","118.695","117.205","15,61M","-0,56%"
"08.04.2021","118.322","118.245","119.020","117.410","15,86M","0,64%"
"07.04.2021","117.565","117.620","118.500","116.680","17,60M","0,01%"
"06.04.2021","117.550","117.290","118.260","117.100","17,81M","-0,06%"
"05.04.2021","117.624","115.590","117.830","115.580","17,12M","2,20%"
"01.04.2021","115.091","117.135","117.515","114.680","17,04M","-1,25%"
"31.03.2021","116.549","116.875","117.350","115.915","16,54M","-0,35%"
"30.03.2021","116.958","115.400","117.190","114.665","17,61M","1,39%"
"29.03.2021","115.351","114.300","115.795","113.770","18,49M","0,66%"
"26.03.2021","114.595","113.735","115.530","113.155","16,66M","0,73%"
"25.03.2021","113.759","111.820","114.125","110.840","18,51M","1,65%"
"24.03.2021","111.914","113.585","114.950","111.635","17,35M","-1,28%"
"23.03.2021","113.366","114.430","115.730","113.025","18,15M","-1,42%"
"22.03.2021","115.002","116.150","116.175","113.630","15,96M","-0,97%"
"19.03.2021","116.123","115.210","116.600","114.715","15,22M","1,05%"
"18.03.2021","114.919","116.345","117.510","114.385","18,19M","-1,45%"
"17.03.2021","116.610","113.620","116.910","113.135","15,56M","2,26%"
"16.03.2021","114.032","115.205","115.260","113.390","14,19M","-0,89%"
"15.03.2021","115.055","114.485","115.245","113.520","14,53M","0,74%"
"12.03.2021","114.205","113.970","114.540","113.300","14,57M","-0,71%"
"11.03.2021","115.026","114.065","115.265","113.330","16,80M","1,94%"
"10.03.2021","112.837","111.550","113.250","109.945","20,90M","1,41%"
"09.03.2021","111.268","110.500","112.915","109.405","21,79M","0,55%"
"08.03.2021","110.663","114.150","114.695","108.975","25,70M","-4,00%"
"05.03.2021","115.277","113.665","115.635","112.415","19,94M","2,33%"
"04.03.2021","112.651","111.600","114.700","111.000","23,95M","1,19%"
